"Fig.2 B, Fig3 CD",,,,,,,,,,
monkey,Session,treatment,reward,delay,Reward size,rew_condition,number of .suc trials,number of .error trials,number of .total trials,error rate
BI,24,base,0.25,0,1R,0s-1R,70,0,70,0
BI,24,base,0.25,3.3,1R,3.3s-1R,79,1,80,0.0125
BI,24,base,0.25,6.9,1R,6.9s-1R,65,6,71,0.084507042
BI,24,base,0.25,10.5,1R,10.5s-1R,74,6,80,0.075
BI,24,base,1,0,4R,0s-4R,81,1,82,0.012195122
BI,24,base,1,3.3,4R,3.3s-4R,70,0,70,0
BI,24,base,1,6.9,4R,6.9s-4R,72,0,72,0
BI,24,base,1,10.5,4R,10.5s-4R,79,4,83,0.048192771
BI,25,veh,0.25,0,1R,0s-1R,77,0,77,0
BI,25,veh,0.25,3.3,1R,3.3s-1R,77,4,81,0.049382716
BI,25,veh,0.25,6.9,1R,6.9s-1R,78,4,82,0.048780488
BI,25,veh,0.25,10.5,1R,10.5s-1R,68,6,74,0.081081081
BI,25,veh,1,0,4R,0s-4R,68,1,69,0.014492754
BI,25,veh,1,3.3,4R,3.3s-4R,73,2,75,0.026666667
BI,25,veh,1,6.9,4R,6.9s-4R,72,2,74,0.027027027
BI,25,veh,1,10.5,4R,10.5s-4R,75,2,77,0.025974026
